55639,Uber, Real Time ,SF Bay Area,12,7007450000,2009,0.9991497966
14431,Didi Kuaidi, Transportation ,Beijing,6,3418000000,2012,0.9971484743
19339,Flipkart, Online Shopping ,Bangalore,12,3151140000,2007,0.9549429431
44111,Reliance Jio Infocomm Ltd., Information Technology ,Mumbai,3,3000000000,2007,0.9978219968
9091,Carestream, Biotechnology ,"Rochester, New York",1,2400000000,2007,0.9972249634
1976,Airbnb, Travel ,SF Bay Area,7,2294820000,2008,0.9901998416
38926,Palantir Technologies, Analytics ,SF Bay Area,15,1571557151,2004,0.9980112877
48742,Snapdeal, E-Commerce ,New Delhi,9,1562700000,2010,0.9877597746
56761,Venari Resources, Oil and Gas ,Dallas,1,1498515340,2012,3.0480629525506E-007
59925,Xiaomi, Mobile ,Beijing,6,1447000000,2010,0.9853767376
4852,Avant, Machine Learning ,Chicago,9,1434000000,2012,0.9999999999
12528,Coupang, E-Commerce ,Seoul,3,1400000000,2010,0.98511782
14074,Delivery Hero, Hospitality ,Berlin,12,1390267370,2011,0.9913196848
37207,O3b Networks, Enterprise Software ,The Hague,9,1371634404,2007,0.9990951092
40427,Pinterest, Social Bookmarking ,SF Bay Area,9,1315500000,2009,0.9999999998
8819,Cape Wind, Clean Technology ,Boston,3,1200000000,2001,0.9747861226
48738,Snapchat, File Sharing ,CA - Other,8,1185585000,2011,0.9049943845
58405,Wave, Internet ,Seattle,2,1180000000,2002,0.9845019899
51402,SurveyMonkey, Software ,SF Bay Area,5,1150000000,1999,0.9921958589
6992,Bloom Energy, Clean Technology ,SF Bay Area,6,1110000000,2001,0.9790373266
15364,Dropbox, Storage ,SF Bay Area,6,1107215000,2007,0.9911377629
32590,Meituan.com, E-Commerce ,Beijing,4,1070000000,2010,0.9767103627
50073,Spotify, Music ,Stockholm,9,1063779080,2006,0.9850343349
11014,Cloudera, Enterprise Software ,SF Bay Area,8,1041000000,2008,0.9866871453
14402,Dianping, Guides ,Shanghai,5,1041000000,2003,0.9999999998
31136,Lyft, Software ,SF Bay Area,8,1012500000,2012,0.9932311357
29547,Legendary Entertainment, Games ,Los Angeles,4,1008000000,2004,0.9598664709
58886,WeWork, Social Media ,New York City,6,1002784331,2010,0.9737258153
30415,LivingSocial, E-Commerce ,"Washington, D.C.",10,934725004,2007,0.9886131699
27243,Jawbone, Personal Health ,SF Bay Area,12,818799995,1999,0.9930053902
49053,SoFi, Financial Services ,SF Bay Area,10,766199900,2011,0.9962613122
26047,Intarcia Therapeutics, Biotechnology ,SF Bay Area,10,759305937,1997,0.9975829844
8728,CAN Capital, Finance ,New York City,4,743000000,1998,0.996241034
29340,Lazada Group, E-Commerce ,Kuala Lumpur,6,710367240,2012,0.9542107119
26369,Intime Retail, E-Commerce ,,1,692000000,1998,0.9701670548
21990,GrabTaxi, Travel ,Singapore,5,680000000,2011,0.9828781068
35332,NantHealth, Health and Wellness ,Los Angeles,5,680000000,2007,0.9816034728
33936,Moderna Therapeutics, Biotechnology ,Boston,5,674600044,2010,0.9807598023
20783,GENBAND, Web Hosting ,Dallas,10,631507662,1999,0.9913205575
23334,Helios Towers Africa, Telecommunications ,London,1,630000000,2005,0.9999999979
16822,Enel OGK-5, Clean Technology ,Moscow,1,625000000,2004,0.6295797507
24857,IHS Holding, Mobile ,London,3,620000000,2001,0.9874071302
31336,Magic Leap, Video ,Ft. Lauderdale,2,592000000,2011,0.9599553198
50222,Square, Mobile Payments ,SF Bay Area,9,590500000,2009,0.989351418
60839,ZeniMax, Games ,"Washington, D.C.",9,588174854,1999,0.991446084
27804,Kabbage, Finance ,Atlanta,11,585363500,2009,0.9938646259
37759,One97 Communications, Mobile ,New Delhi,4,585000000,2000,0.9836206751
691,ABILITY Network, Health Care ,Minneapolis,4,583000000,2000,0.9717448089
59344,Wish, Mobile ,SF Bay Area,5,578700000,2011,0.9751103937
56511,VANCL, E-Commerce ,Beijing,5,570000000,2007,0.9711413119
57140,Vice Media, Video Streaming ,New York City,3,570000000,2006,0.9651674047
22141,GreatPoint Energy, Clean Technology ,Boston,5,562000000,2004,0.9363248208
26454,Invenergy, Clean Technology ,Chicago,4,534400000,2001,0.9644315148
42475,Pure Storage, Enterprise Software ,SF Bay Area,8,530856468,2009,0.9865724174
35298,Nanosolar, Clean Technology ,SF Bay Area,6,520000000,2002,0.9527200469
